reactions,species,Python Classic Time,Python JIT Time,Python JIT Compile Time
10,10,269505.0,6738.0,102808.0
10,100,262275.0,6738.0,13.0
10,500,270640.0,6987.0,8.0
10,1000,271780.0,7245.0,9.0
10,1500,271577.0,7798.0,5.0
10,2000,275009.0,8174.0,32.0
100,10,2510163.0,15928.0,53.0
100,100,2499899.0,14171.0,40.0
100,500,2630217.0,14597.0,63.0
100,1000,2618920.0,14845.0,46.0
100,1500,2628234.0,15312.0,51.0
100,2000,2617830.0,15570.0,51.0
500,10,12482173.0,59308.0,45.0
500,100,12720192.0,49213.0,27.0
500,500,12773502.0,49152.0,54.0
500,1000,12779307.0,50274.0,53.0
500,1500,12823954.0,49752.0,49.0
500,2000,12753261.0,50444.0,54.0
1000,10,24710220.0,113551.0,47.0
1000,100,24585206.0,96742.0,59.0
1000,500,25534109.0,92848.0,68.0
1000,1000,25376634.0,93675.0,54.0
1000,1500,25341038.0,93499.0,62.0
1000,2000,25360398.0,94447.0,75.0
2500,10,62164040.0,276800.0,83.0
2500,100,62341346.0,235681.0,82.0
2500,500,66812486.0,272836.0,94.0
2500,1000,65860274.0,243880.0,100.0
2500,1500,63565208.0,259294.0,88.0
2500,2000,63553315.0,247349.0,85.0
5000,10,123723672.0,635633.0,199.0
5000,100,123424641.0,607611.0,130.0
5000,500,127944405.0,671365.0,171.0
5000,1000,127456113.0,697054.0,178.0
5000,1500,127022688.0,651550.0,112.0
5000,2000,126973689.0,730156.0,131.0
